Unnamed: 0,reference_contexts,query,respuestas,Faithfulness_score
0,"4.º El calendario debe ser impreso y estar a la venta al público el 1 de noviembre de este año sin excepción. Debe venderse al precio de un real de moneda cada ejemplar impreso de dos pliegos, y al precio de siete cuartos el que esté en uno, y no más.",¿Cuál es la fecha límite para la impresión y venta del calendario al público según el texto?,La fecha límite para la impresión y venta del calendario al público es el 1 de noviembre de este año.,True
1,"4.º El calendario debe ser impreso y estar a la venta al público el 1 de noviembre de este año sin excepción. Debe venderse al precio de un real de moneda cada ejemplar impreso de dos pliegos, y al precio de siete cuartos el que esté en uno, y no más.",¿A qué precio debe venderse cada ejemplar impreso de dos pliegos del calendario?,Cada ejemplar impreso de dos pliegos del calendario debe venderse al precio de un real de vellón.,True
2,"4.º El calendario debe ser impreso y estar a la venta al público el 1 de noviembre de este año sin excepción. Debe venderse al precio de un real de moneda cada ejemplar impreso de dos pliegos, y al precio de siete cuartos el que esté en uno, y no más.","Según el documento, ¿cuál es el precio establecido para el calendario que está impreso en un solo pliego?",El precio establecido para el calendario que está impreso en un solo pliego es de siete cuartos.,True
3,"En este discurso dedicado al Supremo Consejo y a cuya publicación precedió la vista de los tres Señores Fiscales, se habla de la importancia de las Leyes formularias, que son acusadas generalmente de ser vacías y supersticiosas. Se mencionan los daños que causan las leyes bien dictadas, pero que no tienen fórmulas definidas para los actos que se tratan. También se demuestran los riesgos de contradicción y los innumerables beneficios que se obtendrán aplicando el formulario de los juicios, evitando la prolongación de los juicios y reduciendo el número de abogados y otras personas que trabajan en el Foro.",¿Cuáles son las principales críticas que se mencionan sobre las Leyes formularias en el discurso dirigido al Supremo Consejo?,"Las principales críticas mencionadas sobre las Leyes formularias en el discurso son que son generalmente acusadas de ser vanas y supersticiosas. Además, se señala que incluso las leyes bien dictadas pueden causar daños si no cuentan con fórmulas determinadas para los actos que regulan. También se destacan los riesgos de contradicción que presentan estas leyes.",True
4,"En este discurso dedicado al Supremo Consejo y a cuya publicación precedió la vista de los tres Señores Fiscales, se habla de la importancia de las Leyes formularias, que son acusadas generalmente de ser vacías y supersticiosas. Se mencionan los daños que causan las leyes bien dictadas, pero que no tienen fórmulas definidas para los actos que se tratan. También se demuestran los riesgos de contradicción y los innumerables beneficios que se obtendrán aplicando el formulario de los juicios, evitando la prolongación de los juicios y reduciendo el número de abogados y otras personas que trabajan en el Foro.",¿Qué riesgos se identifican en relación con las leyes bien dictadas que carecen de fórmulas definidas para los actos que se tratan?,Se identifican riesgos de contradicción en relación con las leyes bien dictadas que carecen de fórmulas definidas para los actos que se tratan.,True
5,"En este discurso dedicado al Supremo Consejo y a cuya publicación precedió la vista de los tres Señores Fiscales, se habla de la importancia de las Leyes formularias, que son acusadas generalmente de ser vacías y supersticiosas. Se mencionan los daños que causan las leyes bien dictadas, pero que no tienen fórmulas definidas para los actos que se tratan. También se demuestran los riesgos de contradicción y los innumerables beneficios que se obtendrán aplicando el formulario de los juicios, evitando la prolongación de los juicios y reduciendo el número de abogados y otras personas que trabajan en el Foro.","Según el discurso, ¿qué beneficios se obtendrían al aplicar el formulario de los juicios en el ámbito legal?","Según el discurso, al aplicar el formulario de los juicios en el ámbito legal se obtendrían beneficios como la reducción de la prolongación de los juicios y la disminución del número de abogados y otras personas que trabajan en el Foro. Además, se menciona que se evitarían los riesgos de contradicción y se generarían innumerables beneficios derivados de la exacta observancia del formulario.",True
6,"Si alguien perdió una yegua que se encontró en el área de Vallecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si se dan las características del animal.",¿Qué debe hacer una persona que ha perdido una yegua y la ha encontrado en el área de Vallecas el día 9 del mes pasado?,Una persona que ha perdido una yegua y la ha encontrado en el área de Vallecas el día 9 del mes pasado debe acudir al Sr. Alcalde de la Hermandad D. Nicolas Humanes y proporcionar las características del animal para que él la entregue.,True
7,"Si alguien perdió una yegua que se encontró en el área de Vallecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si se dan las características del animal.",¿Quién es la persona a la que se debe acudir para recuperar la yegua perdida según el texto?,Se debe acudir al Sr. Alcalde de la Hermandad D. Nicolas Humanes para recuperar la yegua perdida.,True
8,"Si alguien perdió una yegua que se encontró en el área de Vallecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si se dan las características del animal.",¿Cuáles son las condiciones que deben cumplirse para que el Sr. Alcalde D. Nicolas Humanes entregue la yegua encontrada?,Las condiciones que deben cumplirse para que el Sr. Alcalde D. Nicolas Humanes entregue la yegua encontrada son que la persona que la reclama debe acudir a él y proporcionar las señas o características del animal.,True
9,"El 29 de septiembre pasado, entre las 7 y las 8 de la mañana, se perdió una burra de leche en el portal de la calle Mayor número 7. La burra es de color rubio, lleva montura, tiene una herida en la espalda izquierda y está marcada en el hocico.",¿Cuál es la fecha en la que se reportó la pérdida de la burra de leche y en qué horario ocurrió este evento?,La fecha en la que se reportó la pérdida de la burra de leche es el 29 de septiembre y el horario en que ocurrió este evento es entre las 7 y las 8 de la mañana.,True
10,"El 29 de septiembre pasado, entre las 7 y las 8 de la mañana, se perdió una burra de leche en el portal de la calle Mayor número 7. La burra es de color rubio, lleva montura, tiene una herida en la espalda izquierda y está marcada en el hocico.","Describe las características físicas de la burra que se perdió, incluyendo su color y cualquier marca o herida notable.","La burra que se perdió es de color rubio, lleva montura, tiene una herida en la espaldilla izquierda y está marcada en el hocico.",True
11,"El 29 de septiembre pasado, entre las 7 y las 8 de la mañana, se perdió una burra de leche en el portal de la calle Mayor número 7. La burra es de color rubio, lleva montura, tiene una herida en la espalda izquierda y está marcada en el hocico.","¿Dónde exactamente se perdió la burra, incluyendo el número de la calle y el tipo de establecimiento?","La burra se perdió en el portal de la calle Mayor, número 7.",True
12,"Al entrar al portal, a la mano derecha, habrá una variedad de hilos de Galicia, de diferentes tipos para coser y hacer calcetas, y se venderán de manera justa.",¿Qué se puede encontrar a la mano derecha al entrar al portal mencionado en el texto?,"A la mano derecha al entrar al portal mencionado, se puede encontrar una variedad de hilos de Galicia, de diferentes tipos para coser y hacer calcetas, que se venderán de manera justa.",True
13,"Al entrar al portal, a la mano derecha, habrá una variedad de hilos de Galicia, de diferentes tipos para coser y hacer calcetas, y se venderán de manera justa.",¿Qué tipos de productos se mencionan que estarán disponibles para coser y hacer calcetas en el establecimiento?,Se mencionan hilos de Galicia de todas clases para coser y hacer calcetas.,True
14,"Al entrar al portal, a la mano derecha, habrá una variedad de hilos de Galicia, de diferentes tipos para coser y hacer calcetas, y se venderán de manera justa.",¿Cómo se describen las condiciones de venta de los hilos de Galicia en el portal?,Las condiciones de venta de los hilos de Galicia en el portal se describen como justas.,True
15,"El hallazgo será entregado en Madrid, en la casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa número 11, frente a la Iglesia de la Buenadicha. Quien lo encuentre recibirá monedas de plata y oro.","¿Dónde se entregará el hallazgo mencionado en el texto, y qué características tiene la ubicación específica (calle, número, etc.)?","El hallazgo se entregará en Madrid, en la casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa número 11, frente a la Iglesia de la Buenadicha.",True
16,"El hallazgo será entregado en Madrid, en la casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa número 11, frente a la Iglesia de la Buenadicha. Quien lo encuentre recibirá monedas de plata y oro.",¿Qué tipo de recompensas se ofrecerán a la persona que encuentre el hallazgo?,Se ofrecerán monedas de plata y oro a la persona que encuentre el hallazgo.,True
17,"El hallazgo será entregado en Madrid, en la casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa número 11, frente a la Iglesia de la Buenadicha. Quien lo encuentre recibirá monedas de plata y oro.",¿Quién es el propietario de la casa donde se entregará el hallazgo y cuál es su nombre completo?,El propietario de la casa donde se entregará el hallazgo es el Coronel Don Basilio Cano.,True
18,"En la calle de Chinchilla, en la esquina con la calle de la Abada, enfrente del viller, se encuentran algalias de goma elástica y candelillas, instrumentos muy eficaces para tratar a aquellos que sufren de problemas urinarios.",¿Dónde se localizan las algalias de goma elástica y candelillas según el texto?,"Las algalias de goma elástica y candelillas se localizan en la calle de Chinchilla, en la esquina con la calle de la Abada, enfrente del viller.",True
