,query,reference_contexts,reference_answer,reference_answer_by,query_by
0,¿Cuál es la fecha límite para la impresión y venta del calendario al público según el texto?,"['4.º El calendario debe ser impreso y estar a la venta al público el 1 de noviembre de este año sin excepción. Debe venderse al precio de un real de moneda cada ejemplar impreso de dos pliegos, y al precio de siete cuartos el que esté en uno, y no más.']",,None,ai (gpt-4o-mini)
1,¿A qué precio debe venderse cada ejemplar impreso de dos pliegos del calendario?,"['4.º El calendario debe ser impreso y estar a la venta al público el 1 de noviembre de este año sin excepción. Debe venderse al precio de un real de moneda cada ejemplar impreso de dos pliegos, y al precio de siete cuartos el que esté en uno, y no más.']",,None,ai (gpt-4o-mini)
2,"Según el documento, ¿cuál es el precio establecido para el calendario que está impreso en un solo pliego?","['4.º El calendario debe ser impreso y estar a la venta al público el 1 de noviembre de este año sin excepción. Debe venderse al precio de un real de moneda cada ejemplar impreso de dos pliegos, y al precio de siete cuartos el que esté en uno, y no más.']",,None,ai (gpt-4o-mini)
3,¿Cuáles son las principales críticas que se mencionan sobre las Leyes formularias en el discurso dirigido al Supremo Consejo?,"['En este discurso dedicado al Supremo Consejo y a cuya publicación precedió la vista de los tres Señores Fiscales, se habla de la importancia de las Leyes formularias, que son acusadas generalmente de ser vacías y supersticiosas. Se mencionan los daños que causan las leyes bien dictadas, pero que no tienen fórmulas definidas para los actos que se tratan. También se demuestran los riesgos de contradicción y los innumerables beneficios que se obtendrán aplicando el formulario de los juicios, evitando la prolongación de los juicios y reduciendo el número de abogados y otras personas que trabajan en el Foro.']",,None,ai (gpt-4o-mini)
4,¿Qué riesgos se identifican en relación con las leyes bien dictadas que carecen de fórmulas definidas para los actos que se tratan?,"['En este discurso dedicado al Supremo Consejo y a cuya publicación precedió la vista de los tres Señores Fiscales, se habla de la importancia de las Leyes formularias, que son acusadas generalmente de ser vacías y supersticiosas. Se mencionan los daños que causan las leyes bien dictadas, pero que no tienen fórmulas definidas para los actos que se tratan. También se demuestran los riesgos de contradicción y los innumerables beneficios que se obtendrán aplicando el formulario de los juicios, evitando la prolongación de los juicios y reduciendo el número de abogados y otras personas que trabajan en el Foro.']",,None,ai (gpt-4o-mini)
5,"Según el discurso, ¿qué beneficios se obtendrían al aplicar el formulario de los juicios en el ámbito legal?","['En este discurso dedicado al Supremo Consejo y a cuya publicación precedió la vista de los tres Señores Fiscales, se habla de la importancia de las Leyes formularias, que son acusadas generalmente de ser vacías y supersticiosas. Se mencionan los daños que causan las leyes bien dictadas, pero que no tienen fórmulas definidas para los actos que se tratan. También se demuestran los riesgos de contradicción y los innumerables beneficios que se obtendrán aplicando el formulario de los juicios, evitando la prolongación de los juicios y reduciendo el número de abogados y otras personas que trabajan en el Foro.']",,None,ai (gpt-4o-mini)
6,¿Qué debe hacer una persona que ha perdido una yegua y la ha encontrado en el área de Vallecas el día 9 del mes pasado?,"['Si alguien perdió una yegua que se encontró en el área de Vallecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si se dan las características del animal.']",,None,ai (gpt-4o-mini)
7,¿Quién es la persona a la que se debe acudir para recuperar la yegua perdida según el texto?,"['Si alguien perdió una yegua que se encontró en el área de Vallecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si se dan las características del animal.']",,None,ai (gpt-4o-mini)
8,¿Cuáles son las condiciones que deben cumplirse para que el Sr. Alcalde D. Nicolas Humanes entregue la yegua encontrada?,"['Si alguien perdió una yegua que se encontró en el área de Vallecas el día 9 del mes pasado, debe ir al Sr. Alcalde de la Hermandad D. Nicolas Humanes. Él la entregará si se dan las características del animal.']",,None,ai (gpt-4o-mini)
9,¿Cuál es la fecha en la que se reportó la pérdida de la burra de leche y en qué horario ocurrió este evento?,"['El 29 de septiembre pasado, entre las 7 y las 8 de la mañana, se perdió una burra de leche en el portal de la calle Mayor número 7. La burra es de color rubio, lleva montura, tiene una herida en la espalda izquierda y está marcada en el hocico.']",,None,ai (gpt-4o-mini)
10,"Describe las características físicas de la burra que se perdió, incluyendo su color y cualquier marca o herida notable.","['El 29 de septiembre pasado, entre las 7 y las 8 de la mañana, se perdió una burra de leche en el portal de la calle Mayor número 7. La burra es de color rubio, lleva montura, tiene una herida en la espalda izquierda y está marcada en el hocico.']",,None,ai (gpt-4o-mini)
