,Unnamed: 0,query,reference_contexts,reference_answer,reference_answer_by,query_by,traduccion
0,0,What is the deadline for the Almanak to be printed and available to the public?,"['4.º Que el Almanak ha de estar impreso y de venta al público en 1.º de noviembre del presente año sin falta alguna; y ha de venderse al precio de un real de vellon cada egemplar impreso de dos pliegos, y al de siete cuartos el que lo esté en uno, y no mas.']",,,ai (gpt-3.5-turbo),¿Cuál es la fecha límite para que el Almanaque sea impreso y esté disponible para el público?
1,1,How much should each printed copy of the Almanak cost if it is printed on two sheets?,"['4.º Que el Almanak ha de estar impreso y de venta al público en 1.º de noviembre del presente año sin falta alguna; y ha de venderse al precio de un real de vellon cada egemplar impreso de dos pliegos, y al de siete cuartos el que lo esté en uno, y no mas.']",,,ai (gpt-3.5-turbo),¿Cuánto debería costar cada copia impresa del Almanaque si se imprime en dos hojas?
2,2,What is the price for a copy of the Almanak if it is printed on one sheet?,"['4.º Que el Almanak ha de estar impreso y de venta al público en 1.º de noviembre del presente año sin falta alguna; y ha de venderse al precio de un real de vellon cada egemplar impreso de dos pliegos, y al de siete cuartos el que lo esté en uno, y no mas.']",,,ai (gpt-3.5-turbo),¿Cuál es el precio de una copia del Almanaque si está impreso en una sola hoja?
3,3,¿Por qué se consideran importantes las Leyes formularias según el discurso dedicado al Supremo Consejo?,"['En este discurso dedicado al Supremo Consejo y á cuya publicacion precedió la vista de los tres Señores Fiscales, se trata de la importancia de las Leyes formularias, acusadas generalmente de vanas y supersticiosas; se hacen constar por demostracion los daños que ocasionan aun las leyes bien dictadas, por no haber dado formulas determinadas á los actos de que se tratan; se demuestran tambien sus riesgos de contradiccion, los incalculables beneficios que se seguirán de la exâcta observancia del formulario de los juicios, estorvando la prolongacion de los pleytos, y disminuyendo el numero de Abogados, y de todas las demas personas que se emplean en el Foro.']",,,ai (gpt-3.5-turbo),"¿Por qué se consideran importantes las Leyes formularias según el discurso dedicado al Supremo Consejo?

¿Por qué se consideran importantes las Leyes formularias según el discurso dedicado al Supremo Consejo?"
4,4,¿Cuáles son los daños que se mencionan en el discurso que pueden ocasionar las leyes bien dictadas por no tener formulas determinadas para los actos que se tratan?,"['En este discurso dedicado al Supremo Consejo y á cuya publicacion precedió la vista de los tres Señores Fiscales, se trata de la importancia de las Leyes formularias, acusadas generalmente de vanas y supersticiosas; se hacen constar por demostracion los daños que ocasionan aun las leyes bien dictadas, por no haber dado formulas determinadas á los actos de que se tratan; se demuestran tambien sus riesgos de contradiccion, los incalculables beneficios que se seguirán de la exâcta observancia del formulario de los juicios, estorvando la prolongacion de los pleytos, y disminuyendo el numero de Abogados, y de todas las demas personas que se emplean en el Foro.']",,,ai (gpt-3.5-turbo),"¿Cuáles son los daños que se mencionan en el discurso que pueden ocasionar las leyes bien dictadas por no tener fórmulas determinadas para los actos que se tratan? 

¿Cuáles son las consecuencias que se mencionan en el discurso que pueden causar las leyes bien dictadas por no tener fórmulas determinadas para los actos que se tratan?"
5,5,"¿Qué beneficios se mencionan en el discurso que se pueden obtener de la exácta observancia del formulario de los juicios, en términos de la prolongación de los pleitos y la disminución de ciertas personas en el Foro?","['En este discurso dedicado al Supremo Consejo y á cuya publicacion precedió la vista de los tres Señores Fiscales, se trata de la importancia de las Leyes formularias, acusadas generalmente de vanas y supersticiosas; se hacen constar por demostracion los daños que ocasionan aun las leyes bien dictadas, por no haber dado formulas determinadas á los actos de que se tratan; se demuestran tambien sus riesgos de contradiccion, los incalculables beneficios que se seguirán de la exâcta observancia del formulario de los juicios, estorvando la prolongacion de los pleytos, y disminuyendo el numero de Abogados, y de todas las demas personas que se emplean en el Foro.']",,,ai (gpt-3.5-turbo),"¿Qué beneficios se mencionan en el discurso que se pueden obtener de la estricta observancia del formulario de los juicios, en términos de la prolongación de los pleitos y la disminución de ciertas personas en el Foro?"
6,6,Who should a person contact if they have lost a mare that was found in the area of Ballecas on the 9th of the past month?,"['Quien hubiere perdido una yegua que se halló en el término del Lugar de Ballecas el dia 9 del pasado, acuda al Sr. Alcalde de la Hermandad D. Nicolas Humanes que dando las señas la entregará.']",,,ai (gpt-3.5-turbo),¿A quién debería contactar una persona si ha perdido una yegua que fue encontrada en el área de Ballecas el día 9 del mes pasado?
7,7,What is the name of the person to whom the lost mare should be described in order to be returned?,"['Quien hubiere perdido una yegua que se halló en el término del Lugar de Ballecas el dia 9 del pasado, acuda al Sr. Alcalde de la Hermandad D. Nicolas Humanes que dando las señas la entregará.']",,,ai (gpt-3.5-turbo),¿Cuál es el nombre de la persona a la que se debe describir la yegua perdida para que sea devuelta?
8,8,Can you provide the specific date on which the mare was found in the area of Ballecas?,"['Quien hubiere perdido una yegua que se halló en el término del Lugar de Ballecas el dia 9 del pasado, acuda al Sr. Alcalde de la Hermandad D. Nicolas Humanes que dando las señas la entregará.']",,,ai (gpt-3.5-turbo),¿Puede proporcionar la fecha específica en la que se encontró la yegua en el área de Ballecas?
9,9,What was the description of the lost burra de leche that went missing on September 29th?,"['Entre 7 y 8 de la mañana del 29 del pasado setiembre se extravió del portal de la calle Mayor, núm. 7, una burra de leche, pelo rubio, aparejada, con una matadura en la espaldilla izquierda, y herrada en el hocico.']",,,ai (gpt-3.5-turbo),¿Cuál era la descripción de la burra de leche perdida que desapareció el 29 de septiembre?
