,query,reference_contexts,reference_answer,reference_answer_by,query_by
0,What is the deadline for the Almanak to be printed and available to the public?,"['4.º Que el Almanak ha de estar impreso y de venta al público en 1.º de noviembre del presente año sin falta alguna; y ha de venderse al precio de un real de vellon cada egemplar impreso de dos pliegos, y al de siete cuartos el que lo esté en uno, y no mas.']",,None,ai (gpt-3.5-turbo)
1,How much should each printed copy of the Almanak cost if it is printed on two sheets?,"['4.º Que el Almanak ha de estar impreso y de venta al público en 1.º de noviembre del presente año sin falta alguna; y ha de venderse al precio de un real de vellon cada egemplar impreso de dos pliegos, y al de siete cuartos el que lo esté en uno, y no mas.']",,None,ai (gpt-3.5-turbo)
2,What is the price for a copy of the Almanak if it is printed on one sheet?,"['4.º Que el Almanak ha de estar impreso y de venta al público en 1.º de noviembre del presente año sin falta alguna; y ha de venderse al precio de un real de vellon cada egemplar impreso de dos pliegos, y al de siete cuartos el que lo esté en uno, y no mas.']",,None,ai (gpt-3.5-turbo)
3,¿Por qué se consideran importantes las Leyes formularias según el discurso dedicado al Supremo Consejo?,"['En este discurso dedicado al Supremo Consejo y á cuya publicacion precedió la vista de los tres Señores Fiscales, se trata de la importancia de las Leyes formularias, acusadas generalmente de vanas y supersticiosas; se hacen constar por demostracion los daños que ocasionan aun las leyes bien dictadas, por no haber dado formulas determinadas á los actos de que se tratan; se demuestran tambien sus riesgos de contradiccion, los incalculables beneficios que se seguirán de la exâcta observancia del formulario de los juicios, estorvando la prolongacion de los pleytos, y disminuyendo el numero de Abogados, y de todas las demas personas que se emplean en el Foro.']",,None,ai (gpt-3.5-turbo)
4,¿Cuáles son los daños que se mencionan en el discurso que pueden ocasionar las leyes bien dictadas por no tener formulas determinadas para los actos que se tratan?,"['En este discurso dedicado al Supremo Consejo y á cuya publicacion precedió la vista de los tres Señores Fiscales, se trata de la importancia de las Leyes formularias, acusadas generalmente de vanas y supersticiosas; se hacen constar por demostracion los daños que ocasionan aun las leyes bien dictadas, por no haber dado formulas determinadas á los actos de que se tratan; se demuestran tambien sus riesgos de contradiccion, los incalculables beneficios que se seguirán de la exâcta observancia del formulario de los juicios, estorvando la prolongacion de los pleytos, y disminuyendo el numero de Abogados, y de todas las demas personas que se emplean en el Foro.']",,None,ai (gpt-3.5-turbo)
5,"¿Qué beneficios se mencionan en el discurso que se pueden obtener de la exácta observancia del formulario de los juicios, en términos de la prolongación de los pleitos y la disminución de ciertas personas en el Foro?","['En este discurso dedicado al Supremo Consejo y á cuya publicacion precedió la vista de los tres Señores Fiscales, se trata de la importancia de las Leyes formularias, acusadas generalmente de vanas y supersticiosas; se hacen constar por demostracion los daños que ocasionan aun las leyes bien dictadas, por no haber dado formulas determinadas á los actos de que se tratan; se demuestran tambien sus riesgos de contradiccion, los incalculables beneficios que se seguirán de la exâcta observancia del formulario de los juicios, estorvando la prolongacion de los pleytos, y disminuyendo el numero de Abogados, y de todas las demas personas que se emplean en el Foro.']",,None,ai (gpt-3.5-turbo)
6,Who should a person contact if they have lost a mare that was found in the area of Ballecas on the 9th of the past month?,"['Quien hubiere perdido una yegua que se halló en el término del Lugar de Ballecas el dia 9 del pasado, acuda al Sr. Alcalde de la Hermandad D. Nicolas Humanes que dando las señas la entregará.']",,None,ai (gpt-3.5-turbo)
7,What is the name of the person to whom the lost mare should be described in order to be returned?,"['Quien hubiere perdido una yegua que se halló en el término del Lugar de Ballecas el dia 9 del pasado, acuda al Sr. Alcalde de la Hermandad D. Nicolas Humanes que dando las señas la entregará.']",,None,ai (gpt-3.5-turbo)
8,Can you provide the specific date on which the mare was found in the area of Ballecas?,"['Quien hubiere perdido una yegua que se halló en el término del Lugar de Ballecas el dia 9 del pasado, acuda al Sr. Alcalde de la Hermandad D. Nicolas Humanes que dando las señas la entregará.']",,None,ai (gpt-3.5-turbo)
9,What was the description of the lost burra de leche that went missing on September 29th?,"['Entre 7 y 8 de la mañana del 29 del pasado setiembre se extravió del portal de la calle Mayor, núm. 7, una burra de leche, pelo rubio, aparejada, con una matadura en la espaldilla izquierda, y herrada en el hocico.']",,None,ai (gpt-3.5-turbo)
10,Where was the burra de leche last seen before it went missing?,"['Entre 7 y 8 de la mañana del 29 del pasado setiembre se extravió del portal de la calle Mayor, núm. 7, una burra de leche, pelo rubio, aparejada, con una matadura en la espaldilla izquierda, y herrada en el hocico.']",,None,ai (gpt-3.5-turbo)
11,Can you describe any distinguishing features of the burra de leche that may help in identifying it?,"['Entre 7 y 8 de la mañana del 29 del pasado setiembre se extravió del portal de la calle Mayor, núm. 7, una burra de leche, pelo rubio, aparejada, con una matadura en la espaldilla izquierda, y herrada en el hocico.']",,None,ai (gpt-3.5-turbo)
12,What type of items can be found to the right upon entering the portal in the text?,"['baxo entrando en su portal á mano derecha una partida de hilos de Galicia, de todas clases para coser y hacer calcetas, y se dará con toda equidad.']",,None,ai (gpt-3.5-turbo)
13,What specific type of threads are mentioned as being available in the store?,"['baxo entrando en su portal á mano derecha una partida de hilos de Galicia, de todas clases para coser y hacer calcetas, y se dará con toda equidad.']",,None,ai (gpt-3.5-turbo)
14,How does the text describe the fairness or equality with which items are provided in the store?,"['baxo entrando en su portal á mano derecha una partida de hilos de Galicia, de todas clases para coser y hacer calcetas, y se dará con toda equidad.']",,None,ai (gpt-3.5-turbo)
15,Where is the person who found the silver and gold coins instructed to deliver them in Madrid?,"['en monedes de plata, y oro; quien le haya encontrado le entregará en Madrid en casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa n. 11 frente á la Iglesia de la Buenadicha, donde darán el hallazgo.']",,None,ai (gpt-3.5-turbo)
16,Who is the Colonel that the person who found the coins should contact in Madrid?,"['en monedes de plata, y oro; quien le haya encontrado le entregará en Madrid en casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa n. 11 frente á la Iglesia de la Buenadicha, donde darán el hallazgo.']",,None,ai (gpt-3.5-turbo)
17,What is the location in Madrid where the person who found the coins should go to give the discovery?,"['en monedes de plata, y oro; quien le haya encontrado le entregará en Madrid en casa del Coronel Don Basilio Cano, que vive en la calle de Silva, casa n. 11 frente á la Iglesia de la Buenadicha, donde darán el hallazgo.']",,None,ai (gpt-3.5-turbo)
