,original,gpt,manual,Preguntas_manual
0,"4.º Que el Almanak ha de estar impreso y de venta al público en 1.º de noviembre del presente año sin falta alguna; y ha de venderse al precio de un real de vellon cada egemplar impreso de dos pliegos, y al de siete cuartos el que lo esté en uno, y no mas.","El Almanak debe ser impreso y estar a la venta al público el 1 de noviembre de este año sin excepción. Debe venderse al precio de un real de vellón cada ejemplar impreso de dos pliegos, y al precio de siete cuartos el que esté en uno, y no más.","4.º El calendario debe ser impreso y estar a la venta al público el 1 de noviembre de este año sin excepción. Debe venderse al precio de un real de moneda cada ejemplar impreso de dos pliegos, y al precio de siete cuartos el que esté en uno, y no más.","
1. ¿Cuánto cuesta el calendario si se compra en dos pliegos?
2. ¿Cuánto cuesta el calendario si se compra en uno solo pliego?"
1,"En este discurso dedicado al Supremo Consejo y á cuya publicacion precedió la vista de los tres Señores Fiscales, se trata de la importancia de las Leyes formularias, acusadas generalmente de vanas y supersticiosas; se hacen constar por demostracion los daños que ocasionan aun las leyes bien dictadas, por no haber dado formulas determinadas á los actos de que se tratan; se demuestran tambien sus riesgos de contradiccion, los incalculables beneficios que se seguirán de la exâcta observancia del formulario de los juicios, estorvando la prolongacion de los pleytos, y disminuyendo el numero de Abogados, y de todas las demas personas que se emplean en el Foro.","En este discurso dedicado al Supremo Consejo y a cuya publicación precedió la vista de los tres Señores Fiscales, se habla de la importancia de las Leyes formularias, que son acusadas generalmente de ser vanas y supersticiosas. Se mencionan los daños que causan las leyes bien dictadas, pero que no tienen fórmulas determinadas para los actos que se tratan. También se demuestran los riesgos de contradicción y los innumerables beneficios que se obtendrán al observar exactamente el formulario de los juicios, evitando la prolongación de los pleitos y reduciendo el número de abogados y otras personas que trabajan en el Foro.","En este discurso dedicado al Supremo Consejo y a cuya publicación precedió la vista de los tres Señores Fiscales, se habla de la importancia de las Leyes formularias, que son acusadas generalmente de ser vacías y supersticiosas. Se mencionan los daños que causan las leyes bien dictadas, pero que no tienen fórmulas definidas para los actos que se tratan. También se demuestran los riesgos de contradicción y los innumerables beneficios que se obtendrán aplicando el formulario de los juicios, evitando la prolongación de los juicios y reduciendo el número de abogados y otras personas que trabajan en el Foro.","
1. ¿Qué se habla de en este discurso dedicado al Supremo Consejo y a cuya publicación precedió la vista de los tres Señores Fiscales?
2. ¿Cuáles son los beneficios que se obtendrán aplicando el formulario de los juicios, según se menciona en este discurso?"
2,"De 12½ á una del dia 16 del pasado se perdió un perrito dogo nuevo, color de café claro, algo romo, y las orejas no mul cortadas.","El día 16 del mes pasado, a las 12:30 de la tarde, se perdió un cachorro de raza dogo de color café claro, un poco redondeado y con las orejas sin cortar.","El día 16 del mes pasado, entre las 12:30 y la 13:00 de la tarde, se perdió un cachorro de raza dogo de color café claro, nariz pequeña y con las orejas no muy cortadas.","
1. ¿Qué raza era el cachorro que se perdió el 16 del mes pasado entre las 12:30 y la 13:00 de la tarde?
2. ¿Cuál era la coloración del cachorro que se perdió el 16 del mes pasado entre las 12:30 y la 13:00 de la tarde?"
3,"5.º Que si para el dia 1.º de noviembre no estuviese de venta el referido Almanak, ha de ser nula la subasta, y se procederá á otra nueva á costa del anterior postor, á fin de que para 1.º de diciembre esté de venta.","Si el Almanak no está a la venta para el 1 de noviembre, la subasta será anulada y se realizará otra subasta a cargo del postor anterior, para que el Almanak esté a la venta para el 1 de diciembre.","5.º Si el Calendario no está a la venta para el 1 de noviembre, la subasta será anulada y se realizará otra subasta a cargo del licitador anterior, para que el Calendario esté a la venta para el 1 de diciembre.","
1. ¿Qué pasa si el Calendario no está disponible para la venta el 1 de noviembre?
2. ¿En qué precio se vende el Calendario el 1 de noviembre?"
4,"¡Quién le ha dicho á ese maligno que todos los que estuvieron en el referido juego no son cludadanos, y por consiguiente estan excluidos de mandarlos! IIgnora que no existe diferencla alguna entre los infelices esclavizados (para alimentarse) de la Ruleta, y los que trabajaban (para el mismo fin) en las huertas de Almenara, Romero, la Alameda y casa de Campo; ni entre los que componian fusiles y espadas para los france410 ses, los vestian, calzaban y vendian víveres?","¿Quién le ha dicho a esa persona malintencionada que todos los que estuvieron en el mencionado juego no son ciudadanos, y por lo tanto están excluidos de gobernarlos? No sabe que no hay ninguna diferencia entre los desafortunados esclavizados (para alimentarse) de la Ruleta, y los que trabajaban (para el mismo propósito) en las huertas de Almenara, Romero, la Alameda y casa de Campo; ni entre aquellos que fabricaban fusiles y espadas para los franceses, los vestían, calzaban y vendían alimentos?","¡Quién le ha dicho a esa persona malintencionada que todos los que estuvieron en el mencionado juego no son ciudadanos, y por lo tanto están excluidos de gobernarlos!. No sabe que no hay ninguna diferencia entre los infelices esclavizados (para alimentarse) de la Ruleta, y los que trabajaban (para el mismo fin) en las huertas de Almenara, Romero, la Alameda y casa de Campo; ni entre aquellos que fabricaban fusiles y espadas para los franceses, los vestían, calzaban y vendían alimentos?","
1. ¿Quién es la persona malintencionada que se refiere en el texto?
2. ¿En qué juego se menciona a la persona malintencionada?"
5,"En virtud de providencia del señor alcalde de casa y corte Don Manuel de Saravia se ha señalado el dia 8 del corriente mes de mayo, á las once de su mañana, para el remate de un relox de sobremesa de bronce, bien dorado, con una figura de muger, del propio meral, sentada sobre er, con varios atributos, el qual se vende para pago de un acreedor, y 22 y se halla tasado en 2500 rs.","Según la orden del alcalde de la ciudad Don Manuel de Saravia, se ha programado para el día 8 de mayo a las once de la mañana, la subasta de un reloj de mesa de bronce, en buen estado y dorado, con una figura de mujer hecha del mismo metal, sentada sobre él y con varios atributos. Este reloj se vende para pagar a un acreedor y su valor ha sido tasado en 2500 reales.","Según la orden del alcalde de la ciudad Don Manuel de Saravia, se ha programado para el día 8 de mayo a las once de la mañana, la subasta de un reloj de mesa de bronce, en buen estado y dorado, con una figura de mujer hecha del mismo metal, sentada sobre él y con varios atributos. Este reloj se vende para pagar a un acreedor y su valor ha sido tasado en 2500 reales.","
1. ¿Cuál es la fecha y hora programada para la subasta del reloj de mesa de bronce?
2. ¿Cuál es el valor tasado del reloj de mesa de bronce?"
6,"A las 4 y ½. La entrad a de ayer tarde fue de 2040 En el de la calle del Prncipe, por la Compañia de Ribera, se representa el Drama titulado: el Elector de Saxonia, con saynete y dos tonadillas.","A las 4 y media de la tarde, ayer, hubo una asistencia de 2040 personas en el teatro de la calle del Príncipe. En dicho teatro, la compañía de Ribera está representando el drama llamado ""El Elector de Sajonia"", junto con un saynete y dos tonadillas.","Ayer, a las 4 y media de la tarde hubo una asistencia de 2040 personas en el teatro de la calle del Príncipe. En dicho teatro, la compañía de Ribera está representando el drama llamado ""El Elector de Sajonia"", junto con un sainete y dos canciones.","
1. ¿Cuántas personas asistieron al teatro de la calle del Príncipe ayer a las 4 y media de la tarde?
2. ¿En qué teatro se está representando la compañía de Ribera el drama ""El Elector de Sajonia""?"
7,"En la calle de la Cruz del Espíritu santo n. 9 frente á la de la Madera qto. baxo de la fabrica de alfombras, se venden tres tibores de china, dos fanales de cristal, dos frasqueras para tabaco, y otras cosas, y todo se dará con bastante equidad","Se venden tres jarrones de china, dos lámparas de cristal y dos cajas para tabaco, junto con otras cosas, todo a precio muy bajo.","En la calle de la Cruz del Espíritu santo n. 9 frente a la calle de la Madera, en el piso bajo de la fabrica de alfombras, se venden tres vasos grandes de china, dos faroles de cristal, dos cajas para tabaco, y otras cosas, y todo se dará a un precio justo.","
1. ¿En qué calle se encuentra la fabrica de alfombras?
2. ¿Qué artículos se venden en la fabrica de alfombras?"
8,"Quien hubiese perdido en las inmediaciones de Recoletos un rosario con diferentes medallas de plata, acudirá á la calle angosta de San Bernardo frente á el meson de Tarancon casa sin numero qto.","La persona que haya perdido cerca de Recoletos un collar religioso con distintas medallas de plata, debe dirigirse a la estrecha calle de San Bernardo, frente al mesón de 1140 Tarancon, casa sin número, cuarto.","La persona que haya perdido cerca de Recoletos un collar religioso con distintas medallas de plata, debe dirigirse a la estrecha calle de San Bernardo, frente al mesón de Tarancon, casa sin número, cuarto.","
1. ¿Cómo se llama la estrecha calle donde se encuentra la casa sin número, cuarto, frente al mesón de Tarancon?
2. ¿En qué lugar se encuentra la tienda de sombreros con variedad de sombreros de León de Francia a precios muy buenos, también hay sombreros de seda sobre tela y gorras del mismo material para niños?"
9,"Los únicos viages útiles para el género humano son los que emprenden los nombres sabios para enriquecer á las naciones con sus nuevos descubrimientos sobre el gobierno, religion, costumbres, carácter, industria y comercio de otros pueblos, juntamente con las varias producciones de los diferentes elimas del mundo.","Los únicos viajes útiles para las personas son aquellos que hacen los sabios para enriquecer a las naciones con sus nuevos descubrimientos sobre el gobierno, la religión, las costumbres, el carácter, la industria y el comercio de otros pueblos. También comparten las diversas producciones de los diferentes climas del mundo.","Los únicos viajes útiles para las personas son aquellos que hacen los sabios para enriquecer a las naciones con sus nuevos descubrimientos sobre el gobierno, la religión, las costumbres, el carácter, la industria y el comercio de otros pueblos. También comparten las diversas producciones de los diferentes climas del mundo.","
1. ¿Qué son los únicos viajes útiles para las personas según el texto?
2. ¿En qué áreas de conocimiento se enriquecen las naciones a través de estos viajes?"
