,original,gpt,manual,Preguntas_original,Preguntas_manual
0,"4.º Que el Almanak ha de estar impreso y de venta al público en 1.º de noviembre del presente año sin falta alguna; y ha de venderse al precio de un real de vellon cada egemplar impreso de dos pliegos, y al de siete cuartos el que lo esté en uno, y no mas.","El Almanak debe ser impreso y estar a la venta al público el 1 de noviembre de este año sin excepción. Debe venderse al precio de un real de vellón cada ejemplar impreso de dos pliegos, y al precio de siete cuartos el que esté en uno, y no más.","4.º El calendario debe ser impreso y estar a la venta al público el 1 de noviembre de este año sin excepción. Debe venderse al precio de un real de moneda cada ejemplar impreso de dos pliegos, y al precio de siete cuartos el que esté en uno, y no más.","¿Cuándo debe estar impreso y a la venta el Almanak según el texto?
¿Cuál es el precio de venta de un ejemplar impreso de dos pliegos?
¿Cuál es el precio de venta de un ejemplar impreso de un pliego?","¿Cuál es la fecha límite para que el Almanak esté impreso y disponible para la venta al público?
¿A qué precio se debe vender cada ejemplar impreso de dos pliegos?
¿Cuál será la consecuencia si el Almanak no está disponible para la venta el 1 de noviembre?"
1,"En este discurso dedicado al Supremo Consejo y á cuya publicacion precedió la vista de los tres Señores Fiscales, se trata de la importancia de las Leyes formularias, acusadas generalmente de vanas y supersticiosas; se hacen constar por demostracion los daños que ocasionan aun las leyes bien dictadas, por no haber dado formulas determinadas á los actos de que se tratan; se demuestran tambien sus riesgos de contradiccion, los incalculables beneficios que se seguirán de la exâcta observancia del formulario de los juicios, estorvando la prolongacion de los pleytos, y disminuyendo el numero de Abogados, y de todas las demas personas que se emplean en el Foro.","En este discurso dedicado al Supremo Consejo y a cuya publicación precedió la vista de los tres Señores Fiscales, se habla de la importancia de las Leyes formularias, que son acusadas generalmente de ser vanas y supersticiosas. Se mencionan los daños que causan las leyes bien dictadas, pero que no tienen fórmulas determinadas para los actos que se tratan. También se demuestran los riesgos de contradicción y los innumerables beneficios que se obtendrán al observar exactamente el formulario de los juicios, evitando la prolongación de los pleitos y reduciendo el número de abogados y otras personas que trabajan en el Foro.","En este discurso dedicado al Supremo Consejo y a cuya publicación precedió la vista de los tres Señores Fiscales, se habla de la importancia de las Leyes formularias, que son acusadas generalmente de ser vacías y supersticiosas. Se mencionan los daños que causan las leyes bien dictadas, pero que no tienen fórmulas definidas para los actos que se tratan. También se demuestran los riesgos de contradicción y los innumerables beneficios que se obtendrán aplicando el formulario de los juicios, evitando la prolongación de los juicios y reduciendo el número de abogados y otras personas que trabajan en el Foro.","1. ¿Qué aspectos específicos se mencionan sobre las Leyes formularias en el discurso dirigido al Supremo Consejo?
2. ¿Cuáles son los riesgos de contradicción que se destacan al no seguir el formulario de los juicios según el texto?
3. ¿Cómo se plantea que la observancia exacta del formulario de los juicios podría impactar en la prolongación de los pleitos y en la cantidad de abogados y otras personas involucradas en el Foro?","1. ¿Qué se discute en el discurso dirigido al Supremo Consejo y a los Señores Fiscales en relación con las Leyes formularias?
2. ¿Cuáles son los daños que se mencionan en el texto que pueden causar las leyes bien dictadas cuando no tienen fórmulas específicas para los actos que abordan?
3. ¿Qué beneficios se destacan al aplicar el formulario de los juicios según lo expuesto en el discurso?"
2,"De 12½ á una del dia 16 del pasado se perdió un perrito dogo nuevo, color de café claro, algo romo, y las orejas no mul cortadas.","El día 16 del mes pasado, a las 12:30 de la tarde, se perdió un cachorro de raza dogo de color café claro, un poco redondeado y con las orejas sin cortar.","El día 16 del mes pasado, entre las 12:30 y la 13:00 de la tarde, se perdió un cachorro de raza dogo de color café claro, nariz pequeña y con las orejas no muy cortadas.",¿A qué hora y en qué fecha desapareció el perrito dogo? ¿De qué color es el perrito dogo perdido? ¿Qué característica física especial tiene el perrito dogo perdido?,"¿Qué raza de perro se perdió el día 16 del mes pasado entre las 12:30 y la 13:00 de la tarde?
¿De qué color era el cachorro de perro que se perdió el día 16 del mes pasado entre las 12:30 y la 13:00 de la tarde?
¿Qué característica física particular tenían las orejas del cachorro de perro que se perdió el día 16 del mes pasado entre las 12:30 y la 13:00 de la tarde?"
3,"5.º Que si para el dia 1.º de noviembre no estuviese de venta el referido Almanak, ha de ser nula la subasta, y se procederá á otra nueva á costa del anterior postor, á fin de que para 1.º de diciembre esté de venta.","Si el Almanak no está a la venta para el 1 de noviembre, la subasta será anulada y se realizará otra subasta a cargo del postor anterior, para que el Almanak esté a la venta para el 1 de diciembre.","5.º Si el Calendario no está a la venta para el 1 de noviembre, la subasta será anulada y se realizará otra subasta a cargo del licitador anterior, para que el Calendario esté a la venta para el 1 de diciembre.","¿Qué sucede si el Almanak no está disponible para la venta el 1 de noviembre? 
¿Qué acción se tomará si la subasta se anula debido a la falta de disponibilidad del Almanak? 
¿Cuál es el plazo establecido para que el Almanak esté disponible para la venta después de una subasta nula?","¿Qué sucede si el Almanak no está disponible para la venta el 1 de noviembre? 
¿Qué se hará si la subasta es anulada debido a la falta de disponibilidad del Almanak? 
¿Cuál es la fecha límite para que el Almanak esté disponible para la venta al público?"
4,"¡Quién le ha dicho á ese maligno que todos los que estuvieron en el referido juego no son cludadanos, y por consiguiente estan excluidos de mandarlos! IIgnora que no existe diferencla alguna entre los infelices esclavizados (para alimentarse) de la Ruleta, y los que trabajaban (para el mismo fin) en las huertas de Almenara, Romero, la Alameda y casa de Campo; ni entre los que componian fusiles y espadas para los france410 ses, los vestian, calzaban y vendian víveres?","¿Quién le ha dicho a esa persona malintencionada que todos los que estuvieron en el mencionado juego no son ciudadanos, y por lo tanto están excluidos de gobernarlos? No sabe que no hay ninguna diferencia entre los desafortunados esclavizados (para alimentarse) de la Ruleta, y los que trabajaban (para el mismo propósito) en las huertas de Almenara, Romero, la Alameda y casa de Campo; ni entre aquellos que fabricaban fusiles y espadas para los franceses, los vestían, calzaban y vendían alimentos?","¡Quién le ha dicho a esa persona malintencionada que todos los que estuvieron en el mencionado juego no son ciudadanos, y por lo tanto están excluidos de gobernarlos!. No sabe que no hay ninguna diferencia entre los infelices esclavizados (para alimentarse) de la Ruleta, y los que trabajaban (para el mismo fin) en las huertas de Almenara, Romero, la Alameda y casa de Campo; ni entre aquellos que fabricaban fusiles y espadas para los franceses, los vestían, calzaban y vendían alimentos?",¿Quién considera a los participantes del juego como no ciudadanos y los excluye de ser mandados? ¿Por qué se menciona la similitud entre los esclavizados de la Ruleta y los trabajadores de las huertas mencionadas? ¿Qué se sugiere al comparar a quienes fabricaban armas para los franceses con aquellos que les proveían de alimentos y vestimenta?,¿Quién podría haber informado a esa persona maliciosa sobre la exclusión de los ciudadanos que participaron en el juego mencionado? ¿Es consciente de la similitud entre los esclavizados de la Ruleta y los trabajadores de las huertas mencionadas? ¿Qué diferencias reales existen entre los diversos grupos de personas mencionados en el texto?
5,"En virtud de providencia del señor alcalde de casa y corte Don Manuel de Saravia se ha señalado el dia 8 del corriente mes de mayo, á las once de su mañana, para el remate de un relox de sobremesa de bronce, bien dorado, con una figura de muger, del propio meral, sentada sobre er, con varios atributos, el qual se vende para pago de un acreedor, y 22 y se halla tasado en 2500 rs.","Según la orden del alcalde de la ciudad Don Manuel de Saravia, se ha programado para el día 8 de mayo a las once de la mañana, la subasta de un reloj de mesa de bronce, en buen estado y dorado, con una figura de mujer hecha del mismo metal, sentada sobre él y con varios atributos. Este reloj se vende para pagar a un acreedor y su valor ha sido tasado en 2500 reales.","Según la orden del alcalde de la ciudad Don Manuel de Saravia, se ha programado para el día 8 de mayo a las once de la mañana, la subasta de un reloj de mesa de bronce, en buen estado y dorado, con una figura de mujer hecha del mismo metal, sentada sobre él y con varios atributos. Este reloj se vende para pagar a un acreedor y su valor ha sido tasado en 2500 reales.","¿Quién es el señor alcalde de casa y corte que ha señalado la fecha para el remate del reloj de bronce? 
¿Qué figura adorna el reloj de sobremesa de bronce que se va a rematar? 
¿Por qué se está rematando el reloj de bronce con una figura de mujer?","¿Quién ha programado la subasta del reloj de mesa de bronce con figura de mujer? 
¿Cuál es la fecha y hora programada para la subasta del reloj de mesa de bronce? 
¿Por qué se está vendiendo el reloj de mesa de bronce con figura de mujer?"
6,"A las 4 y ½. La entrad a de ayer tarde fue de 2040 En el de la calle del Prncipe, por la Compañia de Ribera, se representa el Drama titulado: el Elector de Saxonia, con saynete y dos tonadillas.","A las 4 y media de la tarde, ayer, hubo una asistencia de 2040 personas en el teatro de la calle del Príncipe. En dicho teatro, la compañía de Ribera está representando el drama llamado ""El Elector de Sajonia"", junto con un saynete y dos tonadillas.","Ayer, a las 4 y media de la tarde hubo una asistencia de 2040 personas en el teatro de la calle del Príncipe. En dicho teatro, la compañía de Ribera está representando el drama llamado ""El Elector de Sajonia"", junto con un sainete y dos canciones.","¿A qué hora fue la entrada de ayer tarde y cuántas personas asistieron?
¿Qué drama se representa en el teatro de la calle del Príncipe por la Compañía de Ribera?
¿Qué tipo de obras acompañan al Drama titulado ""el Elector de Saxonia"" en la representación teatral mencionada?","¿Cuántas personas asistieron ayer a las 4 y media de la tarde al teatro de la calle del Príncipe? 
¿Qué obra está representando la compañía de Ribera en el teatro de la calle del Príncipe? 
¿Qué tipo de espectáculo estará adornando la ópera cómica nueva en el teatro de la Cruz mañana sábado?"
7,"En la calle de la Cruz del Espíritu santo n. 9 frente á la de la Madera qto. baxo de la fabrica de alfombras, se venden tres tibores de china, dos fanales de cristal, dos frasqueras para tabaco, y otras cosas, y todo se dará con bastante equidad","Se venden tres jarrones de china, dos lámparas de cristal y dos cajas para tabaco, junto con otras cosas, todo a precio muy bajo.","En la calle de la Cruz del Espíritu santo n. 9 frente a la calle de la Madera, en el piso bajo de la fabrica de alfombras, se venden tres vasos grandes de china, dos faroles de cristal, dos cajas para tabaco, y otras cosas, y todo se dará a un precio justo.","¿Qué objetos se venden en la calle de la Cruz del Espíritu Santo número 9?
¿Cuántos fanales de cristal se venden junto a los tibores de china?
¿Qué se menciona sobre la equidad en la venta de los objetos mencionados en el texto?","¿Qué objetos se venden en la dirección mencionada?
¿Cuántos faroles de cristal están disponibles para la venta?
¿Qué se menciona sobre la equidad del precio de los artículos ofrecidos?"
8,"Quien hubiese perdido en las inmediaciones de Recoletos un rosario con diferentes medallas de plata, acudirá á la calle angosta de San Bernardo frente á el meson de Tarancon casa sin numero qto.","La persona que haya perdido cerca de Recoletos un collar religioso con distintas medallas de plata, debe dirigirse a la estrecha calle de San Bernardo, frente al mesón de 1140 Tarancon, casa sin número, cuarto.","La persona que haya perdido cerca de Recoletos un collar religioso con distintas medallas de plata, debe dirigirse a la estrecha calle de San Bernardo, frente al mesón de Tarancon, casa sin número, cuarto.","¿Qué tipo de objeto se perdió en las inmediaciones de Recoletos?
¿Dónde debería acudir la persona que perdió el rosario con medallas de plata?
¿Qué referencia se da para encontrar el lugar al que acudir para recuperar el rosario perdido?","¿Qué tipo de objetos perdió la persona cerca de Recoletos?
¿Dónde específicamente debe dirigirse la persona para recuperar los objetos perdidos?
¿Qué indicaciones se deben proporcionar al llegar al lugar para que le devuelvan los objetos perdidos?"
9,"Los únicos viages útiles para el género humano son los que emprenden los nombres sabios para enriquecer á las naciones con sus nuevos descubrimientos sobre el gobierno, religion, costumbres, carácter, industria y comercio de otros pueblos, juntamente con las varias producciones de los diferentes elimas del mundo.","Los únicos viajes útiles para las personas son aquellos que hacen los sabios para enriquecer a las naciones con sus nuevos descubrimientos sobre el gobierno, la religión, las costumbres, el carácter, la industria y el comercio de otros pueblos. También comparten las diversas producciones de los diferentes climas del mundo.","Los únicos viajes útiles para las personas son aquellos que hacen los sabios para enriquecer a las naciones con sus nuevos descubrimientos sobre el gobierno, la religión, las costumbres, el carácter, la industria y el comercio de otros pueblos. También comparten las diversas producciones de los diferentes climas del mundo.","¿Quiénes son los responsables de realizar los viajes útiles para enriquecer a las naciones con nuevos descubrimientos? 
¿Qué aspectos específicos buscan enriquecer los nombres sabios con sus viajes? 
¿Cómo contribuyen los descubrimientos sobre gobierno, religión, costumbres, carácter, industria y comercio de otros pueblos al género humano?","1. ¿Qué tipo de viajes son considerados útiles para enriquecer a las naciones según el texto?
2. ¿Qué aspectos específicos menciona el texto que los sabios comparten durante sus viajes para enriquecer a las naciones?
3. ¿Por qué se destaca la importancia de que los sabios realicen viajes para compartir sus descubrimientos sobre gobierno, religión, costumbres, carácter, industria y comercio de otros pueblos?"
